Feature_Id|Name|Application_Id|Plan_Id|Is_SaaS
saas-dashboard|Aun por definir|central-backoffice|1|1
reports|Aun por definir|client-backoffice|1|1
companies-dashboard|Companies Configuration Dashboard|companies|1|1
merchants-provisioning|Merchants & Tenants Provisioning|merchants|1|1
company-profile|Company Profile|companies|1|0
company-configurations|Company Configurations|companies|1|0
merchant-directory|Merchant Directory|merchants|1|0
apps-config|Applications Configuration|subscription-system|1|1
features-control|Features Control & Flags|subscription-system|1|1
merchant-subs-link|Merchant Subscriptions Link|subscription-system|1|1
plan-apps-rules|Plan Applications Rules|subscription-system|1|1
plan-features-mapping|Plan Features Mapping|subscription-system|1|1
sub-plans-core|Subscription Plans Core|subscription-system|1|1
sub-apps-mapping|Subscription Applications Mapping|subscription-system|1|1
sub-payments-billing|Subscription Payments Billing|subscription-system|1|0
users-auth-profiles|Users & Authorization Profiles|users|1|1
receipt-items|Receipt items engine|billing-transactions|1|0
receipt-orders|Receipts Processing|billing-transactions|1|0
receipt-taxes|Receipts taxes allocation|billing-transactions|1|0
merchant-overtime-rules|Merchant Overtime Rules|configuration|2|0
merchant-payroll-rules|Merchant Payroll Rules|configuration|2|0
merchant-tax-rules|Merchant Tax Rules|configuration|2|0
merchant-tips-rules|Merchant Tips Rules|configuration|2|0
journal-entries|Journal Entries Engine|financial-engine|2|0
journal-entries-lines|Journal Entries lines ledger|financial-engine|2|0
ledger-accounts|Ledger Accounts setup|financial-engine|2|0
customers|Customers Hub (CRM)|business-partners|1|0
suppliers|Suppliers Base|business-partners|2|0
supplier-credit-notes|Supplier Credit Notes|accounts-payable|2|0
supplier-invoice-items|Supplier Invoice Items Tracker|accounts-payable|2|0
supplier-invoices|Supplier Invoices Control|accounts-payable|2|0
supplier-payment-items|Supplier Payment Items Ledger|accounts-payable|2|0
supplier-payments|Supplier Payments Hub|accounts-payable|2|0
supplier-payments-allocation|Supplier Payments Allocation|accounts-payable|2|0
collaborators|Collaborators Database|hr|2|0
collaborators-contracts|Collaborators Contracts|hr|2|0
collaborators-time-entries|Collaborators Time Entries Control|hr|2|0
payroll-adjustments|Payroll Adjustments System|payrolls|2|0
payroll-entries|Payroll Entries Log|payrolls|2|0
payroll-runs|Payroll Runs Engine|payrolls|2|0
payroll-tax-detail|Payroll Tax Detail Analytic|payrolls|2|0
actual-cost-variance|Actual Cost Variance|food-costing|2|0
recipe-ingredients|Recipe Ingredients Breakdown|food-costing|2|0
recipes|Recipes Composition|food-costing|2|0
theoretical-cost|Theoretical Cost Model|food-costing|2|0
categories|Category Management|products-inventory|1|0
modifiers|Modifiers Management|products-inventory|1|0
products|Product Management Matrix|products-inventory|1|0
purchase-orders|Purchase Orders Management|products-inventory|2|0
stock-movements|Stock and Stock Movements Management|products-inventory|2|0
suppliers-management|Suppliers Management Link|products-inventory|2|0
locations|Inventory Locations|products-inventory|2|0
variants|Variants Management|products-inventory|1|0
floor-plans|Floor plans designer|dining-system|2|0
table-assignments|Table assignments matrix|dining-system|2|0
table-zones|Table Zones config|dining-system|2|0
tables|Tables Architecture|dining-system|1|0
kitchen-display-devices|Kitchen Display Devices|kitchen-display-system|2|0
kitchen-event-log|Kitchen Event Log|kitchen-display-system|2|0
kitchen-order-items|Kitchen Order Items tracking|kitchen-display-system|1|0
kitchen-orders|Kitchen Orders Queue|kitchen-display-system|1|0
kitchen-stations|Kitchen Stations routing|kitchen-display-system|2|0
order-discounts|Order Discounts module|pos|1|0
order-items|Order Items entry|pos|1|0
order-payments|Order Payments terminal|pos|1|0
order-taxes|Order Taxes calculations|pos|1|0
orders|Orders Hub Core|pos|1|0
order-item-modifiers|Order Item Modifiers logic|pos|1|0
